sub,test,pair,c,d,ht,ms,cr,fa,oTrls,nTrls,mdRtO,mdRtN,mnRtO,mnRtN
1,aud,none,0.26,0.241,16,20,70,38,36,108,0.66,0.683,0.779,0.944
1,aud,familiar,0.19,0.38,18,18,70,38,36,108,0.703,0.683,0.852,0.944
1,aud,unfamiliar,0.406,-0.05,12,24,70,38,36,108,0.653,0.683,0.773,0.944
1,img,none,0.517,1.313,20,16,95,13,36,108,0.832,0.706,0.908,0.844
1,img,familiar,0.802,0.742,12,24,95,13,36,108,0.749,0.706,0.839,0.844
1,img,unfamiliar,0.764,0.818,13,23,95,13,36,108,0.741,0.706,0.801,0.844
2,aud,none,0.012,0.736,23,13,70,38,36,108,1.923,1.868,2.089,2.006
2,aud,familiar,-0.025,0.811,24,12,70,38,36,108,1.99,1.868,2.304,2.006
2,aud,unfamiliar,0.049,0.663,22,14,70,38,36,108,1.939,1.868,1.989,2.006
2,img,none,-0.094,1.536,29,7,81,27,36,108,1.131,1.181,1.143,1.292
2,img,familiar,-0.205,1.76,31,5,81,27,36,108,1.111,1.181,1.249,1.292
2,img,unfamiliar,0.122,1.105,24,12,81,27,36,108,1.098,1.181,1.159,1.292
3,aud,none,0,0.711,23,13,69,39,36,108,1.803,2.038,2.018,2.151
3,aud,familiar,0,0.711,23,13,69,39,36,108,1.952,2.038,2.078,2.151
3,aud,unfamiliar,0.073,0.566,21,15,69,39,36,108,2.136,2.038,2.309,2.151
3,img,none,0,2.441,32,4,96,12,36,108,1.126,1.211,1.246,1.348
3,img,familiar,0.395,1.651,24,12,96,12,36,108,1.183,1.211,1.338,1.348
3,img,unfamiliar,0.433,1.576,23,13,96,12,36,108,1.152,1.211,1.408,1.348
4,aud,none,-0.013,0.991,25,11,74,34,36,108,1.527,1.431,1.638,1.702
4,aud,familiar,-0.013,0.991,25,11,74,34,36,108,1.254,1.431,1.519,1.702
4,aud,unfamiliar,-0.054,1.072,26,10,74,34,36,108,1.661,1.431,1.612,1.702
4,img,none,0.215,1.292,24,12,87,21,36,108,0.901,0.9,1.049,1.005
4,img,familiar,0,1.723,29,7,87,21,36,108,0.908,0.9,1.034,1.005
4,img,unfamiliar,0.048,1.626,28,8,87,21,36,108,0.907,0.9,1.164,1.005
6,aud,none,0.059,0.256,19,17,62,46,36,108,1.798,2.084,1.993,2.177
6,aud,familiar,-0.048,0.469,22,14,62,46,36,108,1.858,2.084,1.966,2.177
6,aud,unfamiliar,-0.084,0.542,23,13,62,46,36,108,1.937,2.084,2.13,2.177
6,img,none,-0.136,1.451,29,7,78,30,36,108,1.012,1.224,1.114,1.359
6,img,familiar,-0.248,1.675,31,5,78,30,36,108,1.146,1.224,1.279,1.359
6,img,unfamiliar,-0.136,1.451,29,7,78,30,36,108,1.118,1.224,1.193,1.359
7,aud,none,0.468,0.656,16,20,85,23,36,108,1.898,1.507,1.979,1.641
7,aud,familiar,0.363,0.866,19,17,85,23,36,108,1.428,1.507,1.631,1.641
7,aud,unfamiliar,0.613,0.365,12,24,85,23,36,108,1.448,1.507,1.624,1.641
7,img,none,0.136,1.451,26,10,87,21,36,108,0.93,1.022,0.978,1.131
7,img,familiar,0.253,1.217,23,13,87,21,36,108,1.133,1.022,1.147,1.131
7,img,unfamiliar,0.396,0.931,19,17,87,21,36,108,1.013,1.022,1.204,1.131
8,aud,none,0.7,0.689,13,23,92,16,36,108,1.852,1.755,1.905,1.832
8,aud,familiar,0.592,0.905,16,20,92,16,36,108,1.625,1.755,1.705,1.832
8,aud,unfamiliar,0.627,0.834,15,21,92,16,36,108,1.802,1.755,1.871,1.832
8,img,none,0.239,2.414,30,6,100,8,36,108,0.85,0.86,0.983,0.962
8,img,familiar,0.469,1.955,25,11,100,8,36,108,0.805,0.86,0.905,0.962
8,img,unfamiliar,0.386,2.121,27,9,100,8,36,108,0.902,0.86,0.942,0.962
9,aud,none,0.481,1.384,21,15,95,13,36,108,2.417,2.289,2.491,2.326
9,aud,familiar,0.445,1.455,22,14,95,13,36,108,2.273,2.289,2.182,2.326
9,aud,unfamiliar,0.656,1.033,16,20,95,13,36,108,2.288,2.289,2.286,2.326
9,img,none,0.254,2.679,31,5,102,6,36,108,0.991,1.186,1.159,1.387
9,img,familiar,0.186,2.814,32,4,102,6,36,108,1.129,1.186,1.398,1.387
9,img,unfamiliar,0.366,2.455,29,7,102,6,36,108,0.954,1.186,1.074,1.387
10,aud,none,0.103,0.918,23,13,77,31,36,108,3.045,3.553,3.27,3.659
10,aud,familiar,-0.014,1.152,26,10,77,31,36,108,3.38,3.553,3.506,3.659
10,aud,unfamiliar,0.176,0.772,21,15,77,31,36,108,3.385,3.553,3.342,3.659
10,img,none,-0.109,1.131,27,9,73,35,36,108,1.731,2.295,1.797,2.404
10,img,familiar,-0.154,1.221,28,8,73,35,36,108,1.878,2.295,1.895,2.404
10,img,unfamiliar,-0.314,1.542,31,5,73,35,36,108,1.31,2.295,1.618,2.404
11,aud,none,0.094,1.536,27,9,87,21,36,108,2.302,2.301,2.361,2.314
11,aud,familiar,0.431,0.862,18,18,87,21,36,108,2.085,2.301,2.02,2.314
11,aud,unfamiliar,0.609,0.506,13,23,87,21,36,108,2.329,2.301,2.568,2.314
11,img,none,0.375,2.28,28,8,101,7,36,108,1.081,0.972,1.218,1.146
11,img,familiar,0.504,2.024,25,11,101,7,36,108,1.076,0.972,1.299,1.146
11,img,unfamiliar,0.375,2.28,28,8,101,7,36,108,0.993,0.972,1.171,1.146
12,aud,none,0,0.711,23,13,69,39,36,108,2.36,2.313,2.189,2.276
12,aud,familiar,-0.159,1.03,27,9,69,39,36,108,2.267,2.313,2.378,2.276
12,aud,unfamiliar,0.073,0.566,21,15,69,39,36,108,2.222,2.313,2.129,2.276
12,img,none,-0.516,2.155,34,2,77,31,36,108,0.941,1.09,1.02,1.208
12,img,familiar,-0.329,1.783,32,4,77,31,36,108,1.006,1.09,1.018,1.208
12,img,unfamiliar,-0.41,1.945,33,3,77,31,36,108,0.905,1.09,1.109,1.208
13,aud,none,0.254,0.508,18,18,75,33,36,108,2.062,1.978,2.055,2.019
13,aud,familiar,0,1.017,25,11,75,33,36,108,1.882,1.978,1.88,2.019
13,aud,unfamiliar,0.076,0.864,23,13,75,33,36,108,1.907,1.978,1.945,2.019
13,img,none,0.288,1.286,23,13,89,19,36,108,0.97,1.01,1.109,1.127
13,img,familiar,0.288,1.286,23,13,89,19,36,108,1.019,1.01,1.068,1.127
13,img,unfamiliar,0.171,1.52,26,10,89,19,36,108,0.871,1.01,1.121,1.127
14,aud,none,0.136,1.451,26,10,87,21,36,108,2.322,2.382,2.428,2.647
14,aud,familiar,0.136,1.451,26,10,87,21,36,108,2.378,2.382,2.515,2.647
14,aud,unfamiliar,0.253,1.217,23,13,87,21,36,108,2.247,2.382,2.462,2.647
14,img,none,0.232,2.187,29,7,98,10,36,108,0.893,0.888,0.995,1.053
14,img,familiar,0.325,1.999,27,9,98,10,36,108,0.842,0.888,1.026,1.053
14,img,unfamiliar,0.232,2.187,29,7,98,10,36,108,0.912,0.888,1.026,1.053
15,aud,none,0.263,0.387,17,19,73,35,36,108,1.6,1.492,1.694,1.734
15,aud,familiar,0.087,0.739,22,14,73,35,36,108,1.385,1.492,1.699,1.734
15,aud,unfamiliar,0.087,0.739,22,14,73,35,36,108,1.337,1.492,1.59,1.734
15,img,none,0.728,0.891,14,22,95,13,36,108,0.87,0.856,0.942,0.923
15,img,familiar,0.481,1.384,21,15,95,13,36,108,0.961,0.856,1.238,0.923
15,img,unfamiliar,0.692,0.963,15,21,95,13,36,108,0.873,0.856,0.907,0.923
17,aud,none,0.398,0.796,18,18,85,23,36,108,1.715,1.68,1.766,1.773
17,aud,familiar,0.016,1.561,28,8,85,23,36,108,1.552,1.68,1.682,1.773
17,aud,unfamiliar,0.328,0.936,20,16,85,23,36,108,1.654,1.68,1.74,1.773
17,img,none,0.093,2.356,31,5,97,11,36,108,1.191,1.264,1.216,1.33
17,img,familiar,0.025,2.492,32,4,97,11,36,108,1.159,1.264,1.238,1.33
17,img,unfamiliar,0.025,2.492,32,4,97,11,36,108,1.293,1.264,1.353,1.33
18,aud,none,-0.134,0.594,24,12,61,47,36,108,2.659,2.521,3.552,2.969
18,aud,familiar,-0.301,0.928,28,8,61,47,36,108,2.428,2.521,2.837,2.969
18,aud,unfamiliar,-0.134,0.594,24,12,61,47,36,108,2.393,2.521,2.665,2.969
18,img,none,-0.481,1.479,32,4,65,43,36,108,0.956,1.295,1.348,1.594
18,img,familiar,-0.481,1.479,32,4,65,43,36,108,1.036,1.295,1.282,1.594
18,img,unfamiliar,-0.355,1.226,30,6,65,43,36,108,0.954,1.295,1.252,1.594
19,aud,none,0,1.017,25,11,75,33,36,108,1.985,2.166,2.181,2.196
19,aud,familiar,0.149,0.719,21,15,75,33,36,108,2.193,2.166,2.077,2.196
19,aud,unfamiliar,0.184,0.648,20,16,75,33,36,108,2.166,2.166,2.177,2.196
19,img,none,0.185,1.719,27,9,92,16,36,108,0.942,1.115,1.036,1.23
19,img,familiar,0.268,1.553,25,11,92,16,36,108,1.101,1.115,1.237,1.23
19,img,unfamiliar,0.344,1.4,23,13,92,16,36,108,1.088,1.115,1.108,1.23
20,aud,none,-0.05,0.762,24,12,68,40,36,108,2.287,2.249,2.198,2.305
20,aud,familiar,0.096,0.471,20,16,68,40,36,108,2.204,2.249,2.326,2.305
20,aud,unfamiliar,0.096,0.471,20,16,68,40,36,108,2.247,2.249,2.245,2.305
20,img,none,0.248,1.514,25,11,91,17,36,108,1.026,1.06,1.146,1.154
20,img,familiar,0.325,1.361,23,13,91,17,36,108,1.081,1.06,1.071,1.154
20,img,unfamiliar,0.361,1.287,22,14,91,17,36,108,1.126,1.06,1.221,1.154
21,aud,none,0.154,0.872,22,14,78,30,36,108,3.1,2.804,3.209,3.112
21,aud,familiar,0.295,0.589,18,18,78,30,36,108,2.879,2.804,3.069,3.112
21,aud,unfamiliar,0.117,0.945,23,13,78,30,36,108,2.849,2.804,3.031,3.112
21,img,none,-0.476,1.814,33,3,72,36,36,108,1.348,1.558,1.58,1.797
21,img,familiar,-0.167,1.195,28,8,72,36,36,108,1.543,1.558,1.576,1.797
21,img,unfamiliar,-0.167,1.195,28,8,72,36,36,108,1.246,1.558,1.506,1.797
22,aud,none,0.103,0.918,23,13,77,31,36,108,1.306,1.268,1.493,1.526
22,aud,familiar,0.14,0.844,22,14,77,31,36,108,1.352,1.268,1.933,1.526
22,aud,unfamiliar,0.246,0.632,19,17,77,31,36,108,1.389,1.268,1.386,1.526
22,img,none,0.052,0.966,24,12,76,32,36,108,1.037,0.972,1.24,1.251
22,img,familiar,0.302,0.465,17,19,76,32,36,108,0.861,0.972,0.916,1.251
22,img,unfamiliar,0.233,0.605,19,17,76,32,36,108,0.981,0.972,1.235,1.251
23,aud,none,0.287,1.436,24,12,91,17,36,108,2.796,2.825,2.834,2.928
23,aud,familiar,0.287,1.436,24,12,91,17,36,108,2.87,2.825,3.061,2.928
23,aud,unfamiliar,0.287,1.436,24,12,91,17,36,108,2.74,2.825,2.888,2.928
23,img,none,-0.108,2.226,32,4,91,17,36,108,1.066,1.262,1.187,1.37
23,img,familiar,0.287,1.436,24,12,91,17,36,108,1.084,1.262,1.101,1.37
23,img,unfamiliar,0.019,1.973,30,6,91,17,36,108,1.026,1.262,1.091,1.37
24,aud,none,0.117,0.945,23,13,78,30,36,108,2.298,2.24,2.273,2.29
24,aud,familiar,0,1.179,26,10,78,30,36,108,2.062,2.24,2.173,2.29
24,aud,unfamiliar,0.295,0.589,18,18,78,30,36,108,2.074,2.24,2.076,2.29
24,img,none,0.053,1.829,29,7,90,18,36,108,1.179,1.324,1.339,1.488
24,img,familiar,0.146,1.642,27,9,90,18,36,108,1.241,1.324,1.308,1.488
24,img,unfamiliar,0.101,1.732,28,8,90,18,36,108,1.256,1.324,1.358,1.488
25,aud,none,-0.141,1.247,28,8,74,34,36,108,1.403,1.709,1.518,1.8
25,aud,familiar,-0.141,1.247,28,8,74,34,36,108,1.62,1.709,1.569,1.8
25,aud,unfamiliar,-0.141,1.247,28,8,74,34,36,108,1.423,1.709,1.599,1.8
25,img,none,0.093,2.356,31,5,97,11,36,108,0.87,0.878,0.91,0.997
25,img,familiar,0.341,1.861,26,10,97,11,36,108,0.795,0.878,0.914,0.997
25,img,unfamiliar,0.381,1.78,25,11,97,11,36,108,0.855,0.878,0.933,0.997
26,aud,none,0.337,0.395,16,20,76,32,36,108,2.056,1.897,1.978,1.957
26,aud,familiar,0.302,0.465,17,19,76,32,36,108,1.652,1.897,1.91,1.957
26,aud,unfamiliar,0.409,0.253,14,22,76,32,36,108,1.532,1.897,1.666,1.957
26,img,none,0.421,2.19,27,9,101,7,36,108,0.915,0.906,1.012,0.957
26,img,familiar,0.58,1.871,23,13,101,7,36,108,0.868,0.906,0.943,0.957
26,img,unfamiliar,0.617,1.798,22,14,101,7,36,108,0.85,0.906,0.931,0.957
27,aud,none,0.277,0.975,21,15,84,24,36,108,2.417,2.722,2.847,3.382
27,aud,familiar,0.452,0.625,16,20,84,24,36,108,2.68,2.722,3.194,3.382
27,aud,unfamiliar,0.348,0.834,19,17,84,24,36,108,2.68,2.722,3.039,3.382
27,img,none,0.137,1.135,24,12,82,26,36,108,1.365,1.445,1.639,1.877
27,img,familiar,0.137,1.135,24,12,82,26,36,108,1.427,1.445,1.924,1.877
27,img,unfamiliar,0.057,1.293,26,10,82,26,36,108,1.471,1.445,1.751,1.877
28,aud,none,-0.454,0.815,29,7,52,56,36,108,2.431,2.556,2.74,2.831
28,aud,familiar,-0.454,0.815,29,7,52,56,36,108,2.404,2.556,2.509,2.831
28,aud,unfamiliar,-0.454,0.815,29,7,52,56,36,108,2.453,2.556,2.651,2.831
28,img,none,-0.088,2.265,32,4,92,16,36,108,0.85,1.324,1.06,1.655
28,img,familiar,-0.02,2.13,31,5,92,16,36,108,1.125,1.324,1.555,1.655
28,img,unfamiliar,-0.169,2.427,33,3,92,16,36,108,1.002,1.324,1.25,1.655
29,aud,none,-0.049,0.614,23,13,65,43,36,108,2.3,2.348,2.128,2.342
29,aud,familiar,-0.208,0.933,27,9,65,43,36,108,2.149,2.348,2.182,2.342
29,aud,unfamiliar,0.129,0.258,18,18,65,43,36,108,2.221,2.348,2.208,2.342
29,img,none,-0.474,2.882,35,1,90,18,36,108,0.82,1.463,1.037,1.696
29,img,familiar,-0.127,2.188,32,4,90,18,36,108,0.894,1.463,1.102,1.696
29,img,unfamiliar,-0.474,2.882,35,1,90,18,36,108,0.821,1.463,1.066,1.696
30,aud,none,-0.142,0.896,26,10,67,41,36,108,2.537,2.878,2.88,3.011
30,aud,familiar,-0.062,0.737,24,12,67,41,36,108,2.453,2.878,2.856,3.011
30,aud,unfamiliar,0.118,0.376,19,17,67,41,36,108,2.665,2.878,3.038,3.011
30,img,none,-0.175,1.585,30,6,79,29,36,108,1.328,1.538,1.357,1.802
30,img,familiar,-0.302,1.838,32,4,79,29,36,108,1.347,1.538,1.644,1.802
30,img,unfamiliar,-0.234,1.703,31,5,79,29,36,108,1.219,1.538,1.382,1.802
31,aud,none,-0.074,0.713,24,12,66,42,36,108,1.37,1.549,1.582,1.763
31,aud,familiar,-0.113,0.791,25,11,66,42,36,108,1.398,1.549,1.601,1.763
31,aud,unfamiliar,-0.154,0.872,26,10,66,42,36,108,1.534,1.549,1.683,1.763
31,img,none,-0.149,2.468,33,3,93,15,36,108,0.908,1.002,1.07,1.19
31,img,familiar,0.248,1.675,26,10,93,15,36,108,1.12,1.002,1.424,1.19
31,img,unfamiliar,0.16,1.85,28,8,93,15,36,108,0.952,1.002,1.077,1.19
34,aud,none,-0.108,0.495,23,13,60,48,36,108,1.647,1.81,1.825,2.103
34,aud,familiar,-0.225,0.729,26,10,60,48,36,108,1.546,1.81,1.694,2.103
34,aud,unfamiliar,-0.267,0.814,27,9,60,48,36,108,1.427,1.81,1.741,2.103
34,img,none,-0.105,0.97,26,10,70,38,36,108,1.111,1.16,1.345,1.35
34,img,familiar,-0.105,0.97,26,10,70,38,36,108,0.95,1.16,1.403,1.35
34,img,unfamiliar,0.012,0.736,23,13,70,38,36,108,1.28,1.16,1.574,1.35
35,aud,none,0.302,0.744,19,17,81,27,36,108,2.435,2.342,2.591,2.416
35,aud,familiar,0.302,0.744,19,17,81,27,36,108,1.796,2.342,2.005,2.416
35,aud,unfamiliar,0.337,0.674,18,18,81,27,36,108,2.341,2.342,2.343,2.416
35,img,none,0.176,0.772,21,15,77,31,36,108,1.115,1.166,1.414,1.33
35,img,familiar,0.211,0.702,20,16,77,31,36,108,1.071,1.166,1.222,1.33
35,img,unfamiliar,0.459,0.207,13,23,77,31,36,108,1.038,1.166,1.267,1.33
36,aud,none,0.024,0.613,22,14,68,40,36,108,1.212,1.335,1.392,1.513
36,aud,familiar,0.096,0.471,20,16,68,40,36,108,1.312,1.335,1.415,1.513
36,aud,unfamiliar,-0.089,0.839,25,11,68,40,36,108,1.09,1.335,1.312,1.513
36,img,none,0.408,1.833,25,11,98,10,36,108,0.771,0.777,0.931,0.944
36,img,familiar,0.662,1.325,18,18,98,10,36,108,0.837,0.777,0.912,0.944
36,img,unfamiliar,0.557,1.535,21,15,98,10,36,108,0.819,0.777,0.957,0.944
37,aud,none,-0.079,1.566,29,7,82,26,36,108,1.267,1.376,1.434,1.473
37,aud,familiar,0.247,0.914,21,15,82,26,36,108,1.359,1.376,1.447,1.473
37,aud,unfamiliar,0.211,0.986,22,14,82,26,36,108,1.269,1.376,1.402,1.473
37,img,none,0.288,1.286,23,13,89,19,36,108,0.924,0.816,0.938,0.899
37,img,familiar,0.083,1.696,28,8,89,19,36,108,0.894,0.816,0.996,0.899
37,img,unfamiliar,0.431,1.001,19,17,89,19,36,108,0.884,0.816,0.934,0.899
39,aud,none,0.285,0.291,16,20,72,36,36,108,3.008,3.154,3.25,3.364
39,aud,familiar,0.47,-0.078,11,25,72,36,36,108,3.306,3.154,3.548,3.364
